CityCode,CityName,LTLACode,LTLAName,UTLACode,UTLAName,RegionCode,RegionName,MSOACode,MSOAName
J01000013,Bradford,E08000032,Bradford,E08000032,Bradford,E12000003,Yorkshire and The Humber,E02002273,Kirklees 003
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003491,Brighton and Hove 001
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003492,Brighton and Hove 002
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003493,Brighton and Hove 003
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003494,Brighton and Hove 004
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003496,Brighton and Hove 006
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003497,Brighton and Hove 007
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003498,Brighton and Hove 008
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003499,Brighton and Hove 009
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003500,Brighton and Hove 010
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003501,Brighton and Hove 011
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003503,Brighton and Hove 013
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003504,Brighton and Hove 014
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003505,Brighton and Hove 015
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003506,Brighton and Hove 016
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003508,Brighton and Hove 018
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003509,Brighton and Hove 019
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003510,Brighton and Hove 020
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003511,Brighton and Hove 021
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003512,Brighton and Hove 022
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003513,Brighton and Hove 023
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003514,Brighton and Hove 024
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003515,Brighton and Hove 025
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003516,Brighton and Hove 026
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003517,Brighton and Hove 027
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003518,Brighton and Hove 028
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003519,Brighton and Hove 029
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003520,Brighton and Hove 030
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003521,Brighton and Hove 031
J01000014,Brighton & Hove,E06000043,Brighton and Hove,E06000043,Brighton and Hove,E12000008,South East,E02003522,Brighton and Hove 032
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003012,Bristol 001
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003013,Bristol 002
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003014,Bristol 003
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003015,Bristol 004
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003016,Bristol 005
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003017,Bristol 006
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003018,Bristol 007
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003019,Bristol 008
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003020,Bristol 009
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003021,Bristol 010
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003022,Bristol 011
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003023,Bristol 012
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003024,Bristol 013
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003025,Bristol 014
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003026,Bristol 015
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003027,Bristol 016
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003028,Bristol 017
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003029,Bristol 018
J01000015,Bristol,E06000023,"Bristol, City of",E06000023,"Bristol, City of",E12000008,South East,E02003030,Bristol 019
