CityName,CityCode,Date,NewCasesBySpecimenDateRollingSum
Cambridge,J01000019,2022-03-05,904
Cambridge,J01000019,2022-03-12,1508
Cambridge,J01000019,2022-03-19,1900
Cambridge,J01000019,2022-03-26,2059
Cambridge,J01000019,2022-04-02,1462
Cambridge,J01000019,2022-04-09,935
Cambridge,J01000019,2022-04-16,648
Cambridge,J01000019,2022-04-23,450
Cambridge,J01000019,2022-04-30,300
Cambridge,J01000019,2022-05-07,250
Cambridge,J01000019,2022-05-14,222
Cambridge,J01000019,2022-05-21,183
Cambridge,J01000019,2022-05-28,220
Cambridge,J01000019,2022-06-04,193
Cambridge,J01000019,2022-06-11,321
Cambridge,J01000019,2022-06-18,419
Cambridge,J01000019,2022-06-25,658
Cambridge,J01000019,2022-07-02,800
Cambridge,J01000019,2022-07-09,784
Cambridge,J01000019,2022-07-16,594
Cambridge,J01000019,2022-07-23,351
Cambridge,J01000019,2022-07-30,248
Cambridge,J01000019,2022-08-06,189
Cambridge,J01000019,2022-08-13,132
Cambridge,J01000019,2022-08-20,156
Cambridge,J01000019,2022-08-27,91
Cambridge,J01000019,2022-09-03,87
Cambridge,J01000019,2022-09-10,84
Cambridge,J01000019,2022-09-17,90
Cambridge,J01000019,2022-09-24,109
Cambridge,J01000019,2022-10-01,176
Cambridge,J01000019,2022-10-08,215
Cambridge,J01000019,2022-10-15,186
Cambridge,J01000019,2022-10-22,181
Cambridge,J01000019,2022-10-29,114
Cambridge,J01000019,2022-11-05,69
Cambridge,J01000019,2022-11-12,57
Carlisle,J01000021,2020-03-28,25
Carlisle,J01000021,2020-04-04,48
Carlisle,J01000021,2020-04-11,79
Carlisle,J01000021,2020-04-18,45
Carlisle,J01000021,2020-04-25,51
Carlisle,J01000021,2020-05-02,122
Carlisle,J01000021,2020-05-09,57
Carlisle,J01000021,2020-05-16,10
Carlisle,J01000021,2020-05-23,17
Carlisle,J01000021,2020-05-30,3
Carlisle,J01000021,2020-06-27,3
Carlisle,J01000021,2020-07-04,7
Carlisle,J01000021,2020-07-11,6
Carlisle,J01000021,2020-07-18,21
Carlisle,J01000021,2020-08-01,15
Carlisle,J01000021,2020-08-08,19
Carlisle,J01000021,2020-08-22,3
Carlisle,J01000021,2020-08-29,3
Carlisle,J01000021,2020-09-05,4
Carlisle,J01000021,2020-09-19,10
Carlisle,J01000021,2020-09-26,30
Carlisle,J01000021,2020-10-03,29
Carlisle,J01000021,2020-10-10,77
Carlisle,J01000021,2020-10-17,181
Carlisle,J01000021,2020-10-24,222
Carlisle,J01000021,2020-10-31,205
Carlisle,J01000021,2020-11-07,265
Carlisle,J01000021,2020-11-14,223
Carlisle,J01000021,2020-11-21,267
Carlisle,J01000021,2020-11-28,95
Carlisle,J01000021,2020-12-05,68
Carlisle,J01000021,2020-12-12,101
Carlisle,J01000021,2020-12-19,201
Carlisle,J01000021,2020-12-26,361
Carlisle,J01000021,2021-01-02,960
Carlisle,J01000021,2021-01-09,1010
Carlisle,J01000021,2021-01-16,790
Carlisle,J01000021,2021-01-23,503
Carlisle,J01000021,2021-01-30,286
Carlisle,J01000021,2021-02-06,141
Carlisle,J01000021,2021-02-13,117
Carlisle,J01000021,2021-02-20,96
Carlisle,J01000021,2021-02-27,65
Carlisle,J01000021,2021-03-06,13
Carlisle,J01000021,2021-03-13,15
Carlisle,J01000021,2021-03-20,6
Carlisle,J01000021,2021-03-27,14
Carlisle,J01000021,2021-04-10,7
Carlisle,J01000021,2021-04-17,3
Carlisle,J01000021,2021-05-01,3
Carlisle,J01000021,2021-06-05,3
Carlisle,J01000021,2021-06-12,23
Carlisle,J01000021,2021-06-19,70
Carlisle,J01000021,2021-06-26,233
Carlisle,J01000021,2021-07-03,366
Carlisle,J01000021,2021-07-10,497
Carlisle,J01000021,2021-07-17,732
Carlisle,J01000021,2021-07-24,358
Carlisle,J01000021,2021-07-31,149
Carlisle,J01000021,2021-08-07,132
Carlisle,J01000021,2021-08-14,218
Carlisle,J01000021,2021-08-21,176
Carlisle,J01000021,2021-08-28,257
Carlisle,J01000021,2021-09-04,301
Carlisle,J01000021,2021-09-11,349
Carlisle,J01000021,2021-09-18,399
Carlisle,J01000021,2021-09-25,468
Carlisle,J01000021,2021-10-02,372
Carlisle,J01000021,2021-10-09,447
Carlisle,J01000021,2021-10-16,422
Carlisle,J01000021,2021-10-23,385
Carlisle,J01000021,2021-10-30,357
Carlisle,J01000021,2021-11-06,313
Carlisle,J01000021,2021-11-13,319
Carlisle,J01000021,2021-11-20,269
Carlisle,J01000021,2021-11-27,199
Carlisle,J01000021,2021-12-04,268
Carlisle,J01000021,2021-12-11,237
Carlisle,J01000021,2021-12-18,287
Carlisle,J01000021,2021-12-25,607
Carlisle,J01000021,2022-01-01,1932
Carlisle,J01000021,2022-01-08,2293
Carlisle,J01000021,2022-01-15,1238
Carlisle,J01000021,2022-01-22,1112
Carlisle,J01000021,2022-01-29,863
Carlisle,J01000021,2022-02-05,662
Carlisle,J01000021,2022-02-12,454
Carlisle,J01000021,2022-02-19,333
Carlisle,J01000021,2022-02-26,253
Carlisle,J01000021,2022-03-05,344
Carlisle,J01000021,2022-03-12,680
Carlisle,J01000021,2022-03-19,1054
Carlisle,J01000021,2022-03-26,975
Carlisle,J01000021,2022-04-02,617
Carlisle,J01000021,2022-04-09,441
Carlisle,J01000021,2022-04-16,293
Carlisle,J01000021,2022-04-23,262
Carlisle,J01000021,2022-04-30,112
Carlisle,J01000021,2022-05-07,90
Carlisle,J01000021,2022-05-14,82
Carlisle,J01000021,2022-05-21,59
Carlisle,J01000021,2022-05-28,63
Carlisle,J01000021,2022-06-04,61
Carlisle,J01000021,2022-06-11,85
Carlisle,J01000021,2022-06-18,117
Carlisle,J01000021,2022-06-25,174
Carlisle,J01000021,2022-07-02,191
Carlisle,J01000021,2022-07-09,292
Carlisle,J01000021,2022-07-16,245
Carlisle,J01000021,2022-07-23,128
Carlisle,J01000021,2022-07-30,86
Carlisle,J01000021,2022-08-06,68
Carlisle,J01000021,2022-08-13,102
Carlisle,J01000021,2022-08-20,40
Carlisle,J01000021,2022-08-27,74
Carlisle,J01000021,2022-09-03,51
Carlisle,J01000021,2022-09-10,41
Carlisle,J01000021,2022-09-17,46
Carlisle,J01000021,2022-09-24,79
Carlisle,J01000021,2022-10-01,95
Carlisle,J01000021,2022-10-08,82
Carlisle,J01000021,2022-10-15,77
Carlisle,J01000021,2022-10-22,62
Carlisle,J01000021,2022-10-29,42
Carlisle,J01000021,2022-11-05,49
Carlisle,J01000021,2022-11-12,56
Coventry,J01000028,2020-03-28,48
Coventry,J01000028,2020-04-04,138
Coventry,J01000028,2020-04-11,105
Coventry,J01000028,2020-04-18,111
Coventry,J01000028,2020-04-25,146
Coventry,J01000028,2020-05-02,134
Coventry,J01000028,2020-05-09,100
Coventry,J01000028,2020-05-16,87
Coventry,J01000028,2020-05-23,60
Coventry,J01000028,2020-05-30,34
Coventry,J01000028,2020-06-06,9
Coventry,J01000028,2020-06-13,6
Coventry,J01000028,2020-06-20,11
Coventry,J01000028,2020-07-18,6
Coventry,J01000028,2020-07-25,12
Coventry,J01000028,2020-08-01,28
Coventry,J01000028,2020-08-08,46
Coventry,J01000028,2020-08-15,55
Coventry,J01000028,2020-08-22,17
Coventry,J01000028,2020-08-29,43
Coventry,J01000028,2020-09-05,60
Coventry,J01000028,2020-09-12,114
Coventry,J01000028,2020-09-19,150
Coventry,J01000028,2020-09-26,248
Coventry,J01000028,2020-10-03,372
Coventry,J01000028,2020-10-10,610
Coventry,J01000028,2020-10-17,662
Coventry,J01000028,2020-10-24,753
Coventry,J01000028,2020-10-31,723
Coventry,J01000028,2020-11-07,873
Coventry,J01000028,2020-11-14,1118
Coventry,J01000028,2020-11-21,778
Coventry,J01000028,2020-11-28,684
Coventry,J01000028,2020-12-05,508
Coventry,J01000028,2020-12-12,628
Coventry,J01000028,2020-12-19,867
Coventry,J01000028,2020-12-26,990
Coventry,J01000028,2021-01-02,1841
Coventry,J01000028,2021-01-09,2162
Coventry,J01000028,2021-01-16,2017
Coventry,J01000028,2021-01-23,1714
Coventry,J01000028,2021-01-30,1198
Coventry,J01000028,2021-02-06,904
Coventry,J01000028,2021-02-13,631
Coventry,J01000028,2021-02-20,563
Coventry,J01000028,2021-02-27,432
Coventry,J01000028,2021-03-06,270
Coventry,J01000028,2021-03-13,180
Coventry,J01000028,2021-03-20,200
Coventry,J01000028,2021-03-27,192
Coventry,J01000028,2021-04-03,149
Coventry,J01000028,2021-04-10,78
Coventry,J01000028,2021-04-17,72
Coventry,J01000028,2021-04-24,60
Coventry,J01000028,2021-05-01,69
Coventry,J01000028,2021-05-08,78
Coventry,J01000028,2021-05-15,58
Coventry,J01000028,2021-05-22,24
Coventry,J01000028,2021-05-29,38
Coventry,J01000028,2021-06-05,71
Coventry,J01000028,2021-06-12,191
Coventry,J01000028,2021-06-19,287
Coventry,J01000028,2021-06-26,587
Coventry,J01000028,2021-07-03,1022
Coventry,J01000028,2021-07-10,1444
Coventry,J01000028,2021-07-17,2531
Coventry,J01000028,2021-07-24,1622
Coventry,J01000028,2021-07-31,1073
Coventry,J01000028,2021-08-07,1143
Coventry,J01000028,2021-08-14,1231
Coventry,J01000028,2021-08-21,1216
Coventry,J01000028,2021-08-28,1315
Coventry,J01000028,2021-09-04,1285
Coventry,J01000028,2021-09-11,1431
Coventry,J01000028,2021-09-18,1191
Coventry,J01000028,2021-09-25,1668
Coventry,J01000028,2021-10-02,1553
Coventry,J01000028,2021-10-09,1569
Coventry,J01000028,2021-10-16,1680
Coventry,J01000028,2021-10-23,1715
Coventry,J01000028,2021-10-30,1449
Coventry,J01000028,2021-11-06,1255
Coventry,J01000028,2021-11-13,1218
Coventry,J01000028,2021-11-20,1194
Coventry,J01000028,2021-11-27,1136
Coventry,J01000028,2021-12-04,1284
Coventry,J01000028,2021-12-11,1698
Coventry,J01000028,2021-12-18,3031
Coventry,J01000028,2021-12-25,4515
Coventry,J01000028,2022-01-01,6706
Coventry,J01000028,2022-01-08,8077
Coventry,J01000028,2022-01-15,4884
Coventry,J01000028,2022-01-22,4821
Coventry,J01000028,2022-01-29,3801
Coventry,J01000028,2022-02-05,2732
Coventry,J01000028,2022-02-12,1753
Coventry,J01000028,2022-02-19,1272
Coventry,J01000028,2022-02-26,753
Coventry,J01000028,2022-03-05,869
Coventry,J01000028,2022-03-12,1383
Coventry,J01000028,2022-03-19,1900
Coventry,J01000028,2022-03-26,2330
Coventry,J01000028,2022-04-02,1991
Coventry,J01000028,2022-04-09,1270
Coventry,J01000028,2022-04-16,825
Coventry,J01000028,2022-04-23,573
Coventry,J01000028,2022-04-30,385
Coventry,J01000028,2022-05-07,301
Coventry,J01000028,2022-05-14,241
Coventry,J01000028,2022-05-21,211
Coventry,J01000028,2022-05-28,160
Coventry,J01000028,2022-06-04,210
Coventry,J01000028,2022-06-11,367
Coventry,J01000028,2022-06-18,418
Coventry,J01000028,2022-06-25,569
Coventry,J01000028,2022-07-02,780
Coventry,J01000028,2022-07-09,1004
Coventry,J01000028,2022-07-16,879
