CityName,CityCode,MSOAName,MSOACode,SunshineHours,Time
Birmingham,J01000007,Birmingham 017,E02001843,152.1578965202187,2020-07
Birmingham,J01000007,Birmingham 017,E02001843,143.47732325165472,2020-08
Birmingham,J01000007,Birmingham 017,E02001843,178.48679912905234,2020-09
Birmingham,J01000007,Birmingham 017,E02001843,61.86034639908992,2020-10
Birmingham,J01000007,Birmingham 017,E02001843,59.5853157056898,2020-11
Birmingham,J01000007,Birmingham 017,E02001843,48.671335646259905,2020-12
Birmingham,J01000007,Birmingham 017,E02001843,35.634409748006014,2021-01
Birmingham,J01000007,Birmingham 017,E02001843,72.32426395762533,2021-02
Birmingham,J01000007,Birmingham 017,E02001843,98.41415103843592,2021-03
Birmingham,J01000007,Birmingham 017,E02001843,210.68931370908302,2021-04
Birmingham,J01000007,Birmingham 017,E02001843,146.37488155952695,2021-05
Birmingham,J01000007,Birmingham 017,E02001843,187.61592467617655,2021-06
Birmingham,J01000007,Birmingham 017,E02001843,204.62100044907214,2021-07
Birmingham,J01000007,Birmingham 017,E02001843,106.85915645272642,2021-08
Birmingham,J01000007,Birmingham 017,E02001843,146.34743921798167,2021-09
Birmingham,J01000007,Birmingham 017,E02001843,95.9463586652412,2021-10
Birmingham,J01000007,Birmingham 017,E02001843,49.98807703585303,2021-11
Birmingham,J01000007,Birmingham 017,E02001843,24.14290323310322,2021-12
Birmingham,J01000007,Birmingham 019,E02001845,46.64281128356312,2019-01
Birmingham,J01000007,Birmingham 019,E02001845,113.51228431093978,2019-02
Birmingham,J01000007,Birmingham 019,E02001845,130.92240411961706,2019-03
Birmingham,J01000007,Birmingham 019,E02001845,157.34120034178179,2019-04
Birmingham,J01000007,Birmingham 019,E02001845,192.92685261322552,2019-05
Birmingham,J01000007,Birmingham 019,E02001845,138.24887322552578,2019-06
Birmingham,J01000007,Birmingham 019,E02001845,182.5958869351416,2019-07
Birmingham,J01000007,Birmingham 019,E02001845,199.91357164588507,2019-08
Birmingham,J01000007,Birmingham 019,E02001845,169.5019080998301,2019-09
Birmingham,J01000007,Birmingham 019,E02001845,88.30407536999347,2019-10
Birmingham,J01000007,Birmingham 019,E02001845,46.63344868930878,2019-11
Birmingham,J01000007,Birmingham 019,E02001845,55.005925129158385,2019-12
Birmingham,J01000007,Birmingham 019,E02001845,50.20891865911462,2020-01
Birmingham,J01000007,Birmingham 019,E02001845,78.3536011534779,2020-02
Birmingham,J01000007,Birmingham 019,E02001845,147.68613038467237,2020-03
Birmingham,J01000007,Birmingham 019,E02001845,233.87735827370688,2020-04
Birmingham,J01000007,Birmingham 019,E02001845,286.5702106217481,2020-05
Birmingham,J01000007,Birmingham 019,E02001845,171.49970554604482,2020-06
Birmingham,J01000007,Birmingham 019,E02001845,152.01215310349562,2020-07
Birmingham,J01000007,Birmingham 019,E02001845,143.6221200867206,2020-08
Birmingham,J01000007,Birmingham 019,E02001845,178.54336387895788,2020-09
Birmingham,J01000007,Birmingham 019,E02001845,62.001281498790306,2020-10
Birmingham,J01000007,Birmingham 019,E02001845,59.50436423889952,2020-11
Birmingham,J01000007,Birmingham 019,E02001845,48.673750787488,2020-12
Birmingham,J01000007,Birmingham 019,E02001845,35.75996297804253,2021-01
Birmingham,J01000007,Birmingham 019,E02001845,72.52293200137984,2021-02
Birmingham,J01000007,Birmingham 019,E02001845,98.90440701709102,2021-03
Birmingham,J01000007,Birmingham 019,E02001845,211.0749828923584,2021-04
Birmingham,J01000007,Birmingham 019,E02001845,146.65640748021522,2021-05
Birmingham,J01000007,Birmingham 019,E02001845,187.5808785983152,2021-06
Birmingham,J01000007,Birmingham 019,E02001845,204.79566958510364,2021-07
Birmingham,J01000007,Birmingham 019,E02001845,107.3597378864706,2021-08
Birmingham,J01000007,Birmingham 019,E02001845,146.2161290170629,2021-09
Birmingham,J01000007,Birmingham 019,E02001845,95.96141127396449,2021-10
Birmingham,J01000007,Birmingham 019,E02001845,50.0873079908876,2021-11
Birmingham,J01000007,Birmingham 019,E02001845,24.228114834823145,2021-12
Birmingham,J01000007,Birmingham 020,E02001846,46.913881336227554,2019-01
Birmingham,J01000007,Birmingham 020,E02001846,112.72322849710926,2019-02
Birmingham,J01000007,Birmingham 020,E02001846,130.9131149314678,2019-03
Birmingham,J01000007,Birmingham 020,E02001846,156.52718416764364,2019-04
Birmingham,J01000007,Birmingham 020,E02001846,192.42225172220395,2019-05
Birmingham,J01000007,Birmingham 020,E02001846,138.68350781491426,2019-06
Birmingham,J01000007,Birmingham 020,E02001846,182.26938708143825,2019-07
Birmingham,J01000007,Birmingham 020,E02001846,200.80946079359856,2019-08
Birmingham,J01000007,Birmingham 020,E02001846,170.77968901928728,2019-09
Birmingham,J01000007,Birmingham 020,E02001846,88.20892960898865,2019-10
Birmingham,J01000007,Birmingham 020,E02001846,47.04968993241469,2019-11
Birmingham,J01000007,Birmingham 020,E02001846,53.893778510967664,2019-12
Birmingham,J01000007,Birmingham 020,E02001846,49.638060442907225,2020-01
Birmingham,J01000007,Birmingham 020,E02001846,77.7651436310539,2020-02
Birmingham,J01000007,Birmingham 020,E02001846,147.1753800726736,2020-03
Birmingham,J01000007,Birmingham 020,E02001846,233.25614787201428,2020-04
Birmingham,J01000007,Birmingham 020,E02001846,286.05254004501546,2020-05
Birmingham,J01000007,Birmingham 020,E02001846,172.10316028124245,2020-06
Birmingham,J01000007,Birmingham 020,E02001846,152.9273083312865,2020-07
Birmingham,J01000007,Birmingham 020,E02001846,143.06417282951242,2020-08
Birmingham,J01000007,Birmingham 020,E02001846,178.70133102856974,2020-09
Birmingham,J01000007,Birmingham 020,E02001846,61.58055185525282,2020-10
Birmingham,J01000007,Birmingham 020,E02001846,59.393328725909896,2020-11
Birmingham,J01000007,Birmingham 020,E02001846,47.98274719797993,2020-12
Birmingham,J01000007,Birmingham 020,E02001846,34.92195546193179,2021-01
Birmingham,J01000007,Birmingham 020,E02001846,71.31423224778962,2021-02
Birmingham,J01000007,Birmingham 020,E02001846,97.30924311828126,2021-03
Birmingham,J01000007,Birmingham 020,E02001846,208.8543497649953,2021-04
Birmingham,J01000007,Birmingham 020,E02001846,145.13797148178608,2021-05
Birmingham,J01000007,Birmingham 020,E02001846,187.76239472525018,2021-06
Birmingham,J01000007,Birmingham 020,E02001846,204.51396607795405,2021-07
Birmingham,J01000007,Birmingham 020,E02001846,105.52420693527185,2021-08
Birmingham,J01000007,Birmingham 020,E02001846,147.07897428472364,2021-09
Birmingham,J01000007,Birmingham 020,E02001846,95.9896872632048,2021-10
Birmingham,J01000007,Birmingham 020,E02001846,49.31204492395904,2021-11
Birmingham,J01000007,Birmingham 020,E02001846,23.553243210335555,2021-12
Birmingham,J01000007,Birmingham 022,E02001848,46.77879631987814,2019-01
Birmingham,J01000007,Birmingham 022,E02001848,112.64173354882546,2019-02
Birmingham,J01000007,Birmingham 022,E02001848,130.7495093949834,2019-03
Birmingham,J01000007,Birmingham 022,E02001848,156.4713584792338,2019-04
Birmingham,J01000007,Birmingham 022,E02001848,192.2708210529608,2019-05
Birmingham,J01000007,Birmingham 022,E02001848,138.5138147789625,2019-06
Birmingham,J01000007,Birmingham 022,E02001848,182.2931984470904,2019-07
Birmingham,J01000007,Birmingham 022,E02001848,200.44747450218333,2019-08
Birmingham,J01000007,Birmingham 022,E02001848,170.45561129231882,2019-09
Birmingham,J01000007,Birmingham 022,E02001848,88.14850726718021,2019-10
Birmingham,J01000007,Birmingham 022,E02001848,46.94971327024508,2019-11
Birmingham,J01000007,Birmingham 022,E02001848,54.15636888647072,2019-12
Birmingham,J01000007,Birmingham 022,E02001848,49.68634385863388,2020-01
Birmingham,J01000007,Birmingham 022,E02001848,77.70952667224782,2020-02
Birmingham,J01000007,Birmingham 022,E02001848,147.23170037846495,2020-03
Birmingham,J01000007,Birmingham 022,E02001848,233.1158501896934,2020-04
Birmingham,J01000007,Birmingham 022,E02001848,285.9067001165705,2020-05
Birmingham,J01000007,Birmingham 022,E02001848,171.95382183549478,2020-06
Birmingham,J01000007,Birmingham 022,E02001848,152.70754281134055,2020-07
Birmingham,J01000007,Birmingham 022,E02001848,143.12485955180418,2020-08
Birmingham,J01000007,Birmingham 022,E02001848,178.70729502405027,2020-09
Birmingham,J01000007,Birmingham 022,E02001848,61.67709462844008,2020-10
Birmingham,J01000007,Birmingham 022,E02001848,59.41374357619805,2020-11
Birmingham,J01000007,Birmingham 022,E02001848,48.149449023397075,2020-12
