MSOACode,MSOAName,CityCode,CityName,background,building,road,water,barren,forest,agricultural
E02001918,Birmingham 092,J01000007,Birmingham,0.5426909998843544,0.18391930429559,0.0487710450824938,0.0057660956131784,0.0001346788908305,0.2187178762335526,0.0
E02001919,Birmingham 093,J01000007,Birmingham,0.5992618272029071,0.1613711474901176,0.0508179379649371,0.005498088213552,0.0,0.1802301900795256,0.0028208090489604
E02001920,Birmingham 094,J01000007,Birmingham,0.6129971709699262,0.1413253446968879,0.0333124656044975,0.0108853545636761,6.069794544198895e-06,0.1994141004362159,0.0020594939342519
E02001921,Birmingham 095,J01000007,Birmingham,0.6144837024165135,0.1146425546384325,0.0563491559496112,0.0012560264736998,9.589101753982844e-05,0.2088818830602309,0.0042907864439721
E02001922,Birmingham 096,J01000007,Birmingham,0.5487182335052725,0.2207506882207603,0.0848467904724215,0.0072475721362191,0.0211096294855667,0.1125522607647582,0.0047748254150014
E02001923,Birmingham 097,J01000007,Birmingham,0.5973923379616032,0.1809080883972627,0.0455377143726014,0.0013254113065867,0.0003675494277686,0.1695185878820586,0.0049503106521185
E02001924,Birmingham 098,J01000007,Birmingham,0.6764186110451956,0.1322361170688522,0.0286712646484375,0.0088128776193779,0.0032734238098714,0.1484343056366822,0.0021534001715829
E02001925,Birmingham 099,J01000007,Birmingham,0.617541819605334,0.1063715291140701,0.0327910174289947,0.0045540645204741,0.0,0.2379770513825816,0.0007645179485452
E02001926,Birmingham 100,J01000007,Birmingham,0.6295353571573893,0.1363920884973862,0.0529884450575884,0.007941676121132,0.0034544888664694,0.1696879443000344,0.0
E02001927,Birmingham 101,J01000007,Birmingham,0.7036677835207663,0.1235520540315336,0.0557901956670764,0.0035680866097177,0.0001955248764892,0.1128166302610273,0.0004097250333892
E02001928,Birmingham 102,J01000007,Birmingham,0.6606770801839444,0.1428240135358214,0.0390565712754571,0.0026614776705809,0.0022922905606012,0.1524234689057058,6.50978678889319e-05
E02001929,Birmingham 103,J01000007,Birmingham,0.6669782576256925,0.1380055429034433,0.0616706385397429,0.0024730154366737,0.0068227907361732,0.1228723600159166,0.0011773947423576
E02001930,Birmingham 104,J01000007,Birmingham,0.6182746693567576,0.2110324349701909,0.0634164826317285,0.0027878401444849,0.0,0.1010015910450375,0.0034869818518004
E02001931,Birmingham 105,J01000007,Birmingham,0.5861543738323709,0.0936733079993206,0.0249678503948709,0.0125404158882472,0.0,0.2820301089079484,0.0006339429772418
E02001932,Birmingham 106,J01000007,Birmingham,0.7077660845895098,0.126099610940004,0.0506894581677906,0.0032812265249399,0.0090487227480635,0.1004527600062878,0.0026621370234041
E02001933,Birmingham 107,J01000007,Birmingham,0.6333710878227014,0.124708501059865,0.0390811830055056,0.0028247382697157,0.0001365080906024,0.1929131054815658,0.0069648762700438
E02001934,Birmingham 108,J01000007,Birmingham,0.6874048650051103,0.1402593086270021,0.0413171911752352,0.0001287973055275,0.0,0.1304283278817344,0.0004615100053903
E02001935,Birmingham 109,J01000007,Birmingham,0.6673365240698462,0.1234424006831538,0.0641273807834934,0.0044759801916173,0.0004478832622906,0.138062605986724,0.0021072250228744
E02001936,Birmingham 110,J01000007,Birmingham,0.6624776961955618,0.158831332592254,0.0687891912798509,0.0109771836733987,0.0009447463015292,0.0958563080916168,0.0021235418657884
E02001937,Birmingham 111,J01000007,Birmingham,0.6915616453619698,0.1081137890741674,0.03230632020866,0.0071655601583501,0.0011468702746975,0.1564695296748992,0.0032362852472558
E02001938,Birmingham 112,J01000007,Birmingham,0.609749332262511,0.1676326988730033,0.0528046942260312,0.0068861501856957,0.0112883197744174,0.1445605511682114,0.0070782535101296
E02001939,Birmingham 113,J01000007,Birmingham,0.6307880126024834,0.1148144005218235,0.0218295446669043,0.0003702722121554,0.0002068929345888,0.2262529341742415,0.0057379428878029
E02001941,Birmingham 115,J01000007,Birmingham,0.6264425283437735,0.1002895366680156,0.045062617854671,0.0163859461878871,0.0012175184828383,0.1996216416000961,0.0109802108627181
E02001942,Birmingham 116,J01000007,Birmingham,0.6336757398049774,0.1590251462578994,0.0649378109509073,8.96560017828154e-05,0.0,0.1394163000782699,0.002855346906163
E02001943,Birmingham 117,J01000007,Birmingham,0.6442952119102774,0.1099625028073017,0.0381247153269844,0.0253082393675811,0.0053449527237766,0.1733733776003815,0.0035910002636971
E02001944,Birmingham 118,J01000007,Birmingham,0.6431987554215665,0.1091575312420604,0.0433842108501651,0.0187035005682436,0.0017571886795876,0.1800485006192835,0.0037503126190929
E02001945,Birmingham 119,J01000007,Birmingham,0.6752514309353299,0.1114500807570265,0.0517518327042863,0.0005246869794599,0.0256621672942473,0.1344050501917933,0.0009547511378566
E02001946,Birmingham 120,J01000007,Birmingham,0.659877717134598,0.1385366677373035,0.0600898862605804,0.0001246165191392,0.0,0.1388140566547951,0.0025570556935837
E02001947,Birmingham 121,J01000007,Birmingham,0.6843728934769082,0.1215941032477184,0.0512264015400304,0.0017878709641178,0.0118634519323838,0.1280530811411089,0.0011021976977323
E02001948,Birmingham 122,J01000007,Birmingham,0.7015829000387106,0.1679479100682714,0.0620232659417229,3.147984410191441e-05,0.0,0.0674254821227477,0.0009889619844453
E02001949,Birmingham 123,J01000007,Birmingham,0.6035739164064766,0.1424696318234755,0.0442803863029745,0.0064475464433639,0.0013395694458291,0.201079720410836,0.0008092291670443
E02001950,Birmingham 124,J01000007,Birmingham,0.6583694053218714,0.1233385343452638,0.0641137885387381,0.0052872320084973,0.0065337712377,0.1401710730247981,0.0021861955231311
E02001951,Birmingham 125,J01000007,Birmingham,0.6256771614538372,0.1592547801318089,0.0549165082899905,0.0020832040691902,0.0001807449930939,0.1577292384363669,0.0001583626257121
E02001952,Birmingham 126,J01000007,Birmingham,0.6675562814720043,0.1334296889436699,0.0665237486910726,0.0008973611638674,0.0014481212400418,0.1297963928142452,0.0003484056750985
E02001953,Birmingham 127,J01000007,Birmingham,0.610483083919603,0.1279007892219388,0.0555563167649872,0.0037832299057318,0.0058704609773596,0.1963574779276945,4.864128268494898e-05
E02001954,Birmingham 128,J01000007,Birmingham,0.6490590725725854,0.1354568659910681,0.0570564046937819,0.0015533848812705,0.001881248072574,0.1541235182020399,0.0008695055866799
E02001955,Birmingham 129,J01000007,Birmingham,0.59261134489802,0.0976671291671636,0.0410714535312798,0.0334638872219406,0.0818205855274928,0.152836014842259,0.0005295848118439
E02001956,Birmingham 130,J01000007,Birmingham,0.6266434873383621,0.122877723430765,0.0563711232152478,0.0080258283943965,0.0006043322332974,0.1846506263469827,0.0008268790409482
E02001957,Birmingham 131,J01000007,Birmingham,0.6967117012321175,0.1413472410920378,0.082565976427747,9.066098696225649e-06,0.0013599395751953,0.0702187426678546,0.0077873329063514
E02002074,Sandwell 032,J01000007,Birmingham,0.6587954321089492,0.1499677444998509,0.1069850246003278,0.0087210008169065,0.0,0.0706064915462151,0.0049243064277503
E02002078,Sandwell 036,J01000007,Birmingham,0.6456459708835768,0.173722507642663,0.1094236954398777,0.0001162321671195,0.0,0.0710884757663892,3.118100373641305e-06
E02002079,Sandwell 037,J01000007,Birmingham,0.6264274062346321,0.177349870979189,0.0949541127391809,0.0194513978535184,0.0,0.0814133017871512,0.0004039104063282
E02002081,Solihull 001,J01000007,Birmingham,0.6554952077736143,0.1372060416151136,0.060830969256693,0.0171186582355297,0.0,0.1280695482256905,0.0012795748933587
E02002082,Solihull 002,J01000007,Birmingham,0.6563397692395495,0.1971131361924208,0.05869451745764,0.0,0.0065752500063413,0.0812176295689174,5.969753513088474e-05
E02002083,Solihull 003,J01000007,Birmingham,0.693075387721485,0.1500744843602779,0.0843667392954355,0.0012344028083123,9.024921973146985e-05,0.0685232600175356,0.002635476577222
E02002084,Solihull 004,J01000007,Birmingham,0.657777104826055,0.1350887722439236,0.0823740902110042,6.364349626068376e-06,9.41871577857906e-05,0.1234764425163595,0.0011830386952457
E02002085,Solihull 005,J01000007,Birmingham,0.6462183911178617,0.1341352623801741,0.0643801805449695,0.0003224385388572,0.0,0.1544475161783243,0.0004962112398129
E02002086,Solihull 006,J01000007,Birmingham,0.6478034753367734,0.1668086424776556,0.0827955081139081,0.001399915404771,0.00115417354882,0.1000091803907857,2.910472728587963e-05
