Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_2
2020-08-03,49,21,14,6,3
2020-08-04,41,27,17,18,5
2020-08-05,16,13,7,25,4
2020-08-06,48,23,6,11,3
2020-08-07,91,35,12,13,5
2020-08-08,17,15,8,10,5
2020-08-09,8,9,14,16,10
2020-08-10,18,17,23,28,16
2020-08-11,29,18,22,35,24
2020-08-12,32,12,23,33,22
2020-08-13,21,23,17,31,22
2020-08-14,18,24,14,20,12
2020-08-15,11,8,11,14,9
2020-08-16,15,22,7,11,7
2020-08-17,59,27,10,11,7
2020-08-18,53,25,9,11,4
2020-08-19,39,11,6,6,3
2020-08-20,33,14,12,15,6
2020-08-21,18,10,11,22,6
2020-08-22,19,8,8,7,3
2020-08-23,24,9,6,6,3
2020-08-24,56,18,9,7,4
2020-08-25,21,8,No data,6,2
2020-08-26,55,22,No data,No data,No data
2020-08-27,80,29,No data,No data,No data
2020-08-28,46,28,No data,No data,No data
2020-08-29,32,15,No data,7,3
2020-08-30,27,19,No data,9,4
2020-08-31,83,24,No data,9,5
2020-09-01,112,59,No data,14,9
2020-09-02,67,25,21,15,7
2020-09-03,41,22,11,7,4
2020-09-04,53,25,17,14,7
2020-09-05,53,23,19,10,5
2020-09-06,43,20,14,7,4
2020-09-07,57,34,13,12,6
2020-09-08,38,23,7,9,4
2020-09-09,63,24,10,9,4
2020-09-10,100,52,20,20,9
2020-09-11,46,29,13,18,6
2020-09-12,29,14,11,9,4
2020-09-13,25,12,11,11,6
2020-09-14,110,32,14,17,7
2020-09-15,63,38,18,23,11
2020-09-16,39,25,19,26,15
2020-09-17,26,11,15,15,6
2020-09-18,31,18,14,13,4
2020-09-19,11,13,17,15,6
2020-09-20,15,11,12,12,6
2020-09-21,117,56,35,27,14
2020-09-22,55,34,No data,37,19
2020-09-23,55,27,16,11,7
2020-09-24,69,30,11,7,3
2020-09-25,53,27,9,9,3
2020-09-26,37,17,8,11,4
2020-09-27,36,16,10,12,7
2020-09-28,No data,No data,No data,No data,No data
2020-09-29,No data,No data,No data,No data,No data
2020-09-30,64,24,12,9,5
2020-10-01,90,34,20,10,6
2020-10-02,22,17,13,10,6
2020-10-03,46,34,14,13,9
2020-10-04,41,15,7,3,2
2020-10-05,63,33,13,8,5
2020-10-06,55,24,9,6,3
2020-10-07,61,28,14,9,4
2020-10-08,80,38,14,7,4
2020-10-09,81,40,14,8,4
2020-10-10,66,24,12,7,4
2020-10-11,76,27,11,6,4
2020-10-12,68,43,12,12,6
2020-10-13,79,47,14,10,6
2020-10-14,50,40,16,12,7
2020-10-15,47,43,13,9,4
2020-10-16,52,42,14,9,5
2020-10-17,72,36,17,10,7
2020-10-18,74,30,24,19,15
2020-10-19,70,22,21,18,13
2020-10-20,49,16,16,12,7
2020-10-21,65,30,17,13,8
2020-10-22,64,31,13,8,4
2020-10-23,73,35,14,10,5
2020-10-24,28,10,8,6,3
2020-10-25,37,11,7,6,3
2020-10-26,63,29,12,8,4
2020-10-27,55,20,11,8,4
2020-10-28,44,23,13,9,4
2020-10-29,42,21,12,11,6
2020-10-30,70,26,13,7,4
2020-10-31,33,9,13,9,5
2020-11-01,17,6,15,11,6
2020-11-02,37,16,13,9,4
2020-11-03,123,53,21,12,6
2020-11-04,253,131,45,28,20
2020-11-05,189,99,68,48,39
2020-11-06,198,103,64,43,35
2020-11-07,130,74,47,38,32
2020-11-08,75,33,37,33,28
2020-11-09,72,23,20,16,12
2020-11-10,90,32,24,13,8
2020-11-11,53,12,18,8,5
2020-11-12,57,24,16,9,4
2020-11-13,68,28,20,11,5
2020-11-14,29,9,11,8,5
2020-11-15,19,7,11,8,4
2020-11-16,44,20,12,7,4
2020-11-17,25,15,9,5,3
2020-11-18,34,16,16,11,6
2020-11-19,109,48,20,9,5
2020-11-20,54,35,13,10,6
2020-11-21,31,13,8,5,3
2020-11-22,104,44,22,13,9
2020-11-23,94,51,17,12,9
2020-11-24,48,21,16,11,7
2020-11-25,149,69,23,16,11
2020-11-26,307,165,37,25,19
2020-11-27,203,121,38,24,19
2020-11-28,65,40,35,32,27
2020-11-29,77,34,28,23,21
2020-11-30,75,32,16,13,10
2020-12-01,204,87,33,14,7
2020-12-02,157,88,27,20,13
2020-12-03,111,34,11,8,5
2020-12-04,82,29,10,6,4
2020-12-05,64,30,14,10,7
2020-12-06,134,49,24,19,16
2020-12-07,140,63,23,16,14
2020-12-08,92,58,15,14,10
2020-12-09,107,42,23,14,8
2020-12-10,73,20,19,13,9
2020-12-11,232,79,25,14,10
2020-12-12,92,35,20,12,9
2020-12-13,38,13,9,6,4
2020-12-14,67,24,20,13,7
2020-12-15,88,27,16,10,6
2020-12-16,64,19,13,7,4
2020-12-17,55,32,13,10,6
2020-12-18,42,12,6,3,2
2020-12-19,37,13,12,8,5
2020-12-20,30,13,11,8,4
2020-12-21,44,16,6,4,3
2020-12-22,108,39,19,10,6
2020-12-23,44,48,8,7,6
2020-12-24,51,20,10,5,3
2020-12-25,65,22,15,8,5
2020-12-26,19,6,2,3,2
2020-12-27,41,11,9,6,4
2020-12-28,58,23,14,11,10
2020-12-29,116,44,20,15,13
2020-12-30,150,61,25,12,10
2020-12-31,180,66,30,18,16
2021-01-01,78,32,21,18,15
2021-01-02,85,38,12,9,7
2021-01-03,25,34,6,7,5
2021-01-04,21,43,8,7,4
2021-01-05,39,52,7,7,4
2021-01-06,133,70,17,11,8
2021-01-07,181,84,27,22,19
2021-01-08,138,80,27,24,21
2021-01-09,105,53,32,26,23
2021-01-10,62,26,16,15,14
2021-01-11,52,22,8,5,3
2021-01-12,156,76,24,14,8
2021-01-13,150,92,20,15,12
2021-01-14,No data,20,4,3,3
2021-01-15,109,42,23,18,14
2021-01-16,64,23,14,11,8
2021-01-17,50,18,16,13,7
2021-01-18,54,26,10,8,5
2021-01-19,29,14,3,4,2
2021-01-20,31,13,4,4,2
2021-01-21,64,27,13,6,3
2021-01-22,93,46,18,11,6
2021-01-23,88,36,13,10,8
2021-01-24,39,25,11,11,9
2021-01-25,115,53,19,15,11
2021-01-26,103,46,14,11,9
2021-01-27,186,74,23,16,12
2021-01-28,79,No data,11,7,5
2021-01-29,97,No data,19,10,6
2021-01-30,14,No data,9,7,4
2021-01-31,25,No data,10,9,5
2021-02-01,88,No data,26,19,13
2021-02-02,92,No data,18,14,9
2021-02-03,No data,No data,25,10,5
2021-02-04,No data,No data,15,11,8
2021-02-05,71,No data,16,10,8
2021-02-06,56,No data,14,10,9
2021-02-07,7,No data,21,20,9
2021-02-08,16,No data,6,6,4
2021-02-09,23,No data,6,6,4
2021-02-10,48,No data,12,8,5
2021-02-11,71,No data,20,10,7
2021-02-12,30,13,24,15,11
2021-02-13,32,13,20,14,9
2021-02-14,30,12,18,13,9
2021-02-15,71,29,18,13,9
2021-02-16,43,28,13,10,6
2021-02-17,39,19,16,12,6
2021-02-18,38,14,17,10,5
2021-02-19,37,13,18,9,5
2021-02-20,30,9,35,30,13
2021-02-21,46,11,24,14,9
2021-02-22,115,43,32,19,12
2021-02-23,31,13,No data,11,6
2021-02-24,23,14,No data,15,6
2021-02-25,102,39,No data,13,6
