Date,NOx_1,NOx_2,PM2.5_1,PM2.5_2,PM10_1,PM10_2
2020-05-20,No data,42,No data,14,No data,23
2020-05-21,No data,49,No data,10,No data,18
2020-05-22,No data,10,No data,15,No data,33
2020-05-23,No data,12,No data,8,No data,21
2020-05-24,No data,16,No data,11,No data,24
2020-05-25,No data,26,No data,9,No data,16
2020-05-26,No data,28,No data,10,No data,23
2020-05-27,No data,43,No data,8,No data,19
2020-05-28,No data,50,No data,12,No data,27
2020-05-29,No data,32,No data,9,No data,20
2020-05-30,No data,17,No data,6,No data,13
2020-05-31,No data,22,No data,11,No data,18
2020-06-01,No data,53,No data,11,No data,22
2020-06-02,No data,52,No data,12,No data,24
2020-06-03,No data,52,No data,5,No data,12
2020-06-04,No data,51,No data,6,No data,12
2020-06-05,No data,42,No data,6,No data,13
2020-06-06,No data,33,No data,6,No data,11
2020-06-07,No data,28,No data,8,No data,14
2020-06-08,No data,51,No data,8,No data,21
2020-06-09,No data,43,No data,10,No data,19
2020-06-10,No data,25,No data,12,No data,13
2020-06-11,No data,38,No data,12,No data,15
2020-06-12,No data,55,No data,16,No data,24
2020-06-13,No data,42,No data,11,No data,12
2020-06-14,No data,28,No data,8,No data,12
2020-06-15,No data,50,No data,9,No data,15
2020-06-16,No data,53,No data,15,No data,21
2020-06-17,No data,58,No data,15,No data,23
2020-06-18,No data,43,No data,11,No data,15
2020-06-19,No data,35,No data,7,No data,9
2020-06-20,No data,16,No data,6,No data,12
2020-06-21,No data,13,No data,8,No data,18
2020-06-22,No data,14,No data,7,No data,18
2020-06-23,No data,24,No data,5,No data,10
2020-06-24,No data,57,No data,10,No data,21
2020-06-25,No data,33,No data,15,No data,27
2020-06-26,No data,48,No data,17,No data,27
2020-06-27,No data,18,No data,6,No data,11
2020-06-28,No data,7,No data,6,No data,10
2020-06-29,No data,24,No data,7,No data,16
2020-06-30,No data,35,No data,7,No data,15
2020-07-01,No data,60,No data,9,No data,17
2020-07-02,No data,46,No data,7,No data,16
2020-07-03,No data,19,No data,5,No data,10
2020-07-04,No data,29,No data,4,No data,9
2020-07-05,No data,14,No data,9,No data,14
2020-07-06,No data,38,No data,9,No data,18
2020-07-07,No data,42,No data,9,No data,17
2020-07-08,No data,56,No data,8,No data,14
2020-07-09,No data,52,No data,6,No data,12
2020-07-10,No data,47,No data,6,No data,13
2020-07-11,No data,31,No data,5,No data,13
2020-07-12,No data,14,No data,5,No data,10
2020-07-13,No data,30,No data,5,No data,11
2020-07-14,No data,33,No data,5,No data,12
2020-07-15,No data,35,No data,5,No data,10
2020-07-16,No data,30,No data,5,No data,12
2020-07-17,No data,21,No data,4,No data,12
2020-07-18,No data,28,No data,4,No data,13
2020-07-19,No data,22,No data,7,No data,17
2020-07-20,No data,41,No data,6,No data,15
2020-07-21,No data,46,No data,6,No data,15
2020-07-22,No data,25,No data,7,No data,13
