Date,NOx_1,NOx_2,PM2.5_1,PM10_1,PM10_2
2020-01-23,30,31,13,15,15
2020-01-24,45,64,16,18,20
2020-01-25,24,31,21,31,30
2020-01-26,22,36,13,24,25
2020-01-27,31,52,5,12,15
2020-01-28,9,35,4,8,13
2020-01-29,20,51,8,19,25
2020-01-30,12,41,6,10,13
2020-01-31,19,42,3,5,9
2020-02-01,9,48,10,19,25
2020-02-02,7,29,12,22,27
2020-02-03,11,43,12,24,29
2020-02-04,15,48,6,12,17
2020-02-05,62,87,11,19,26
2020-02-06,86,53,10,14,No data
2020-02-07,22,38,17,25,No data
2020-02-08,14,55,10,21,No data
2020-02-09,6,13,13,24,No data
2020-02-10,5,26,7,15,No data
2020-02-11,7,28,7,14,24
2020-02-12,12,47,5,11,21
2020-02-13,13,46,8,16,20
2020-02-14,46,63,11,22,31
2020-02-15,5,18,7,13,22
2020-02-16,7,22,7,15,25
2020-02-17,11,33,9,18,24
2020-02-18,6,36,7,16,21
2020-02-19,19,53,8,17,21
2020-02-20,11,33,6,12,17
2020-02-21,7,36,10,23,28
2020-02-22,5,33,15,28,35
2020-02-23,11,30,6,10,17
2020-02-24,No data,No data,5,10,No data
2020-02-25,No data,No data,3,7,No data
2020-02-26,No data,44,No data,No data,16
2020-02-27,No data,42,No data,No data,12
2020-02-28,No data,37,No data,No data,20
2020-02-29,No data,28,No data,No data,29
2020-03-01,No data,36,No data,No data,18
2020-03-02,No data,54,No data,No data,13
2020-03-03,No data,55,No data,No data,22
2020-03-04,No data,35,No data,No data,13
2020-03-05,No data,36,No data,No data,10
2020-03-06,No data,100,No data,No data,30
2020-03-07,No data,56,No data,No data,28
2020-03-08,No data,30,No data,No data,24
2020-03-09,No data,39,No data,No data,21
2020-03-10,No data,30,No data,No data,19
2020-03-11,No data,38,No data,No data,15
2020-03-12,No data,31,No data,No data,23
2020-03-13,No data,49,No data,No data,24
2020-03-14,No data,43,No data,No data,19
2020-03-15,No data,33,No data,No data,13
2020-03-16,No data,58,No data,No data,17
2020-03-17,No data,43,No data,No data,21
2020-03-18,No data,38,No data,No data,17
2020-03-19,No data,27,No data,No data,11
2020-03-20,No data,14,No data,No data,15
2020-03-21,No data,8,No data,No data,15
2020-03-22,No data,11,No data,No data,18
2020-03-23,No data,12,No data,No data,19
2020-03-24,No data,18,No data,No data,25
2020-03-25,No data,19,No data,No data,25
2020-03-26,No data,24,No data,No data,36
2020-03-27,No data,21,No data,No data,40
2020-03-28,No data,10,No data,No data,29
2020-03-29,No data,6,No data,No data,20
2020-03-30,No data,23,No data,No data,14
2020-03-31,No data,13,No data,No data,17
2020-04-01,No data,26,No data,No data,17
2020-04-02,No data,47,No data,No data,16
2020-04-03,No data,34,No data,No data,14
2020-04-04,No data,17,No data,No data,17
2020-04-05,No data,15,No data,No data,22
2020-04-06,No data,21,No data,No data,19
2020-04-07,No data,30,No data,No data,24
2020-04-08,No data,30,No data,No data,53
2020-04-09,No data,28,No data,No data,60
2020-04-10,No data,13,No data,No data,36
2020-04-11,No data,31,No data,No data,36
2020-04-12,No data,40,No data,No data,47
2020-04-13,No data,10,No data,No data,21
2020-04-14,No data,14,No data,No data,16
2020-04-15,No data,16,No data,No data,23
2020-04-16,No data,28,No data,No data,41
2020-04-17,No data,22,No data,No data,32
2020-04-18,No data,23,No data,No data,26
2020-04-19,No data,13,No data,No data,24
2020-04-20,No data,15,No data,No data,26
2020-04-21,No data,16,No data,No data,31
2020-04-22,No data,17,No data,No data,31
2020-04-23,No data,33,No data,No data,44
2020-04-24,No data,32,No data,No data,39
2020-04-25,No data,11,No data,No data,No data
2020-04-26,No data,18,No data,No data,No data
2020-04-27,No data,41,No data,No data,No data
2020-04-28,No data,20,No data,No data,13
2020-04-29,No data,21,No data,No data,19
2020-04-30,No data,13,No data,No data,19
2020-05-01,No data,17,No data,No data,17
2020-05-02,No data,15,No data,No data,12
2020-05-03,No data,18,No data,No data,13
2020-05-04,No data,9,No data,No data,20
2020-05-05,No data,7,No data,No data,17
2020-05-06,No data,11,No data,No data,23
2020-05-07,No data,29,No data,No data,34
2020-05-08,No data,29,No data,No data,33
2020-05-09,No data,23,No data,No data,35
2020-05-10,No data,22,No data,No data,29
2020-05-11,No data,14,No data,No data,24
2020-05-12,No data,25,No data,No data,14
2020-05-13,No data,20,No data,No data,17
2020-05-14,No data,14,No data,No data,14
2020-05-15,No data,34,No data,No data,19
2020-05-16,No data,24,No data,No data,15
2020-05-17,No data,17,No data,No data,15
2020-05-18,No data,18,No data,No data,20
2020-05-19,No data,23,No data,No data,17
2020-05-20,No data,32,No data,No data,15
2020-05-21,No data,35,No data,No data,16
2020-05-22,No data,16,No data,No data,35
2020-05-23,No data,7,No data,No data,27
2020-05-24,No data,11,No data,No data,18
2020-05-25,No data,21,No data,No data,19
2020-05-26,No data,30,No data,No data,17
2020-05-27,No data,20,No data,No data,16
2020-05-28,No data,8,No data,No data,15
2020-05-29,No data,9,No data,No data,20
2020-05-30,No data,10,No data,No data,22
2020-05-31,No data,7,No data,No data,18
2020-06-01,No data,23,No data,No data,18
2020-06-02,No data,33,No data,No data,18
2020-06-03,No data,35,No data,No data,20
2020-06-04,No data,33,No data,No data,12
2020-06-05,No data,36,No data,No data,11
2020-06-06,No data,29,No data,No data,13
2020-06-07,No data,23,No data,No data,13
2020-06-08,No data,23,No data,No data,13
2020-06-09,No data,16,No data,No data,21
2020-06-10,No data,24,No data,No data,14
2020-06-11,No data,14,No data,No data,23
2020-06-12,No data,16,No data,No data,20
2020-06-13,No data,12,No data,No data,15
2020-06-14,No data,20,No data,No data,13
2020-06-15,No data,39,No data,No data,13
2020-06-16,No data,22,No data,No data,12
2020-06-17,No data,28,No data,No data,13
2020-06-18,No data,27,No data,No data,14
2020-06-19,No data,22,No data,No data,15
2020-06-20,No data,23,No data,No data,10
2020-06-21,No data,16,No data,No data,20
2020-06-22,No data,20,No data,No data,23
2020-06-23,No data,19,No data,No data,22
2020-06-24,No data,13,No data,No data,27
2020-06-25,No data,14,No data,No data,22
2020-06-26,No data,25,No data,No data,20
2020-06-27,No data,13,No data,No data,18
2020-06-28,No data,12,No data,No data,18
2020-06-29,No data,15,No data,No data,20
2020-06-30,No data,24,No data,No data,9
2020-07-01,No data,20,No data,No data,15
