Date,PM2.5_1,PM10_1,PM10_2,NOx_1,NOx_2
2020-12-05,9,12,14,45,73
2020-12-06,14,16,17,46,87
2020-12-07,19,23,24,71,No data
2020-12-08,13,17,15,60,No data
2020-12-09,7,14,15,46,97
2020-12-10,11,17,15,47,50
2020-12-11,13,18,19,116,194
2020-12-12,12,16,16,43,98
2020-12-13,5,8,8,28,36
2020-12-14,7,14,14,21,37
2020-12-15,7,13,13,42,69
2020-12-16,5,10,9,37,45
2020-12-17,6,11,12,37,76
2020-12-18,2,5,3,19,39
2020-12-19,5,9,8,16,38
2020-12-20,5,9,9,17,47
2020-12-21,4,7,7,36,60
2020-12-22,10,16,24,69,178
2020-12-23,3,5,5,22,55
2020-12-24,3,7,7,34,43
2020-12-25,5,8,12,17,46
2020-12-26,2,3,2,11,21
2020-12-27,4,8,6,14,41
2020-12-28,12,15,14,40,51
2020-12-29,11,14,14,52,83
2020-12-30,15,19,18,55,148
2020-12-31,21,25,30,75,181
2021-01-01,18,21,23,34,58
2021-01-02,7,10,11,46,83
2021-01-03,4,6,7,16,34
2021-01-04,4,8,9,20,52
2021-01-05,4,7,7,27,50
2021-01-06,7,11,13,49,103
2021-01-07,25,29,35,124,220
2021-01-08,21,25,27,73,157
2021-01-09,20,25,23,60,101
2021-01-10,11,13,12,26,53
2021-01-11,3,5,6,17,46
2021-01-12,8,15,20,64,139
2021-01-13,15,19,23,75,135
2021-01-14,4,5,6,30,62
2021-01-15,16,19,19,44,85
2021-01-16,10,14,12,25,46
2021-01-17,7,13,13,17,41
2021-01-18,5,8,9,26,69
2021-01-19,2,3,4,18,49
2021-01-20,2,3,3,13,21
2021-01-21,3,6,9,14,42
2021-01-22,6,11,16,32,96
2021-01-23,12,14,15,32,72
2021-01-24,14,17,21,33,79
2021-01-25,10,15,18,50,118
2021-01-26,10,14,17,73,141
2021-01-27,15,20,26,90,206
2021-01-28,7,11,11,45,91
2021-01-29,7,12,14,27,64
2021-01-30,4,9,9,16,12
2021-01-31,5,12,9,20,30
2021-02-01,13,23,29,60,117
2021-02-02,11,14,14,47,92
2021-02-03,6,12,14,39,124
2021-02-04,10,14,16,66,117
2021-02-05,10,13,15,45,62
2021-02-06,9,12,12,30,40
2021-02-07,10,23,19,8,14
2021-02-08,4,7,6,15,42
2021-02-09,5,10,10,24,55
2021-02-10,5,11,22,24,84
2021-02-11,9,18,14,36,63
2021-02-12,13,21,17,30,22
2021-02-13,10,19,13,28,19
2021-02-14,10,16,13,21,19
2021-02-15,11,15,18,29,57
2021-02-16,6,9,11,20,47
2021-02-17,6,11,11,17,38
2021-02-18,5,10,13,15,37
2021-02-19,6,12,10,19,24
2021-02-20,13,33,25,20,20
2021-02-21,9,16,18,26,40
2021-02-22,14,21,No data,51,174
2021-02-23,6,13,No data,19,30
2021-02-24,6,13,No data,10,23
2021-02-25,6,13,No data,24,74
2021-02-26,15,26,50,74,173
2021-02-27,26,37,47,109,154
2021-02-28,28,35,33,66,70
2021-03-01,10,13,15,24,49
2021-03-02,24,30,30,26,53
2021-03-03,46,55,60,31,66
2021-03-04,18,24,32,24,66
2021-03-05,6,14,22,26,63
2021-03-06,10,16,29,31,79
2021-03-07,27,35,34,35,70
2021-03-08,19,28,34,43,117
2021-03-09,11,19,No data,29,No data
2021-03-10,No data,No data,No data,No data,No data
2021-03-11,No data,No data,10,No data,28
2021-03-12,4,7,9,13,38
2021-03-13,3,6,8,11,21
2021-03-14,5,9,9,10,19
2021-03-15,8,14,19,33,58
2021-03-16,8,13,19,29,68
2021-03-17,13,24,30,61,116
2021-03-18,12,20,25,49,82
2021-03-19,4,6,12,22,60
2021-03-20,8,12,14,24,45
2021-03-21,9,14,16,21,47
2021-03-22,14,22,27,42,103
2021-03-23,15,23,25,30,77
2021-03-24,13,21,25,23,67
2021-03-25,6,12,14,22,56
2021-03-26,4,9,11,13,38
2021-03-27,5,12,14,12,27
2021-03-28,3,5,9,7,15
2021-03-29,3,7,12,14,43
2021-03-30,16,29,34,52,111
2021-03-31,20,40,43,40,105
2021-04-01,7,14,20,14,33
2021-04-02,7,13,16,15,31
2021-04-03,12,24,23,21,31
2021-04-04,16,25,27,19,39
2021-04-05,4,10,12,15,22
2021-04-06,4,10,31,31,62
2021-04-07,5,12,15,31,65
2021-04-08,4,10,12,17,39
2021-04-09,6,12,15,22,65
2021-04-10,6,11,11,24,28
2021-04-11,6,9,12,20,36
2021-04-12,8,16,21,43,114
2021-04-13,8,17,24,49,103
2021-04-14,9,16,18,28,49
2021-04-15,5,11,12,39,56
2021-04-16,7,15,15,54,67
2021-04-17,10,18,16,50,51
2021-04-18,8,14,13,21,37
2021-04-19,11,20,20,29,53
2021-04-20,20,34,29,40,63
2021-04-21,12,22,20,19,31
2021-04-22,7,18,15,32,49
