Date,NOx_1,NOx_2,NOx_3,PM10_2,PM10_3,PM2.5_1,PM2.5_2,PM2.5_3
2020-11-04,145,69,96,18,No data,11,10,No data
2020-11-05,258,91,137,62,No data,46,47,No data
2020-11-06,238,101,102,64,No data,63,52,No data
2020-11-07,173,101,69,69,No data,69,59,No data
2020-11-08,140,85,69,53,No data,45,47,No data
2020-11-09,199,86,63,29,No data,30,23,No data
2020-11-10,154,48,58,16,No data,16,11,No data
2020-11-11,77,24,27,12,No data,7,7,No data
2020-11-12,55,13,30,9,No data,3,4,No data
2020-11-13,68,19,35,12,No data,6,5,No data
2020-11-14,66,17,14,10,No data,7,7,No data
2020-11-15,28,7,9,8,No data,3,4,No data
2020-11-16,60,15,31,7,No data,4,4,No data
2020-11-17,47,13,23,4,No data,2,2,No data
2020-11-18,39,12,22,11,No data,4,6,No data
2020-11-19,112,32,53,10,No data,6,5,No data
2020-11-20,89,28,47,12,No data,6,6,No data
2020-11-21,59,17,22,5,No data,2,3,No data
2020-11-22,70,20,30,12,No data,5,6,No data
2020-11-23,99,43,66,12,No data,5,6,No data
2020-11-24,49,24,28,12,No data,6,7,No data
2020-11-25,163,39,85,12,No data,10,8,No data
2020-11-26,189,80,143,23,No data,14,15,No data
2020-11-27,254,106,196,22,No data,17,15,No data
2020-11-28,221,100,139,36,No data,31,30,No data
2020-11-29,146,58,76,23,No data,23,20,No data
2020-11-30,61,17,44,12,No data,7,9,No data
2020-12-01,142,66,99,13,No data,5,7,No data
2020-12-02,131,42,74,14,No data,9,9,No data
2020-12-03,103,34,38,8,No data,4,5,No data
2020-12-04,89,28,54,4,No data,3,3,No data
2020-12-05,151,54,56,14,No data,11,10,No data
2020-12-06,112,49,47,13,No data,10,11,No data
2020-12-07,167,37,75,16,No data,14,14,No data
2020-12-08,122,35,69,18,No data,7,9,No data
2020-12-09,150,50,84,15,No data,8,7,No data
2020-12-10,118,48,41,17,No data,11,11,No data
2020-12-11,194,87,81,20,No data,16,13,No data
2020-12-12,158,67,76,14,No data,11,10,No data
2020-12-13,105,30,27,9,No data,7,6,No data
2020-12-14,53,22,32,17,No data,6,7,No data
2020-12-15,128,47,53,32,No data,8,13,No data
2020-12-16,82,31,39,16,No data,7,8,No data
2020-12-17,63,23,41,23,No data,5,8,No data
2020-12-18,47,18,21,7,No data,1,2,No data
2020-12-19,50,16,19,23,No data,3,6,No data
2020-12-20,59,16,22,18,No data,3,6,No data
2020-12-21,247,73,74,15,No data,13,7,No data
2020-12-22,269,99,158,17,No data,14,10,No data
2020-12-23,63,30,26,7,No data,7,6,No data
2020-12-24,54,13,18,6,No data,2,3,No data
2020-12-25,44,11,22,6,No data,2,3,No data
2020-12-26,25,8,10,4,No data,1,2,No data
2020-12-27,49,12,18,8,No data,4,4,No data
2020-12-28,86,24,32,14,No data,11,11,No data
2020-12-29,79,25,38,6,No data,5,5,No data
2020-12-30,185,33,106,8,No data,7,6,No data
2020-12-31,244,122,125,26,No data,11,21,No data
2021-01-01,49,25,19,14,No data,5,12,No data
2021-01-02,98,39,40,5,No data,4,4,No data
2021-01-03,49,18,18,7,No data,3,5,No data
2021-01-04,64,23,21,9,No data,3,5,No data
2021-01-05,65,30,20,7,No data,3,4,No data
2021-01-06,148,71,59,13,No data,8,9,No data
2021-01-07,202,61,195,12,No data,9,10,No data
2021-01-08,87,32,34,10,No data,8,9,No data
2021-01-09,151,57,72,18,No data,14,14,No data
2021-01-10,55,11,27,5,No data,3,5,No data
2021-01-11,59,14,32,4,No data,2,2,No data
2021-01-12,157,54,71,9,No data,6,6,No data
2021-01-13,198,81,122,13,No data,10,9,No data
2021-01-14,121,51,39,7,No data,7,6,No data
2021-01-15,160,60,75,23,No data,16,14,No data
2021-01-16,89,18,31,14,No data,7,8,No data
2021-01-17,41,11,18,12,No data,4,6,No data
2021-01-18,66,16,40,7,No data,3,4,No data
2021-01-19,77,23,43,6,No data,2,2,No data
2021-01-20,40,15,22,6,No data,2,2,No data
2021-01-21,54,13,29,5,No data,2,3,No data
2021-01-22,115,25,51,12,No data,7,7,No data
2021-01-23,141,26,53,7,No data,6,5,No data
2021-01-24,154,61,62,16,No data,16,13,No data
2021-01-25,77,19,48,9,No data,No data,5,No data
2021-01-26,160,50,73,30,No data,No data,10,No data
2021-01-27,246,78,131,23,No data,No data,15,No data
