Date,PM2.5_1,PM10_1,NOx_1,NOx_2
2020-01-03,11,19,47,64
2020-01-04,11,13,93,69
2020-01-05,6,11,10,19
2020-01-06,10,23,30,46
2020-01-07,7,16,18,17
2020-01-08,12,24,30,48
2020-01-09,9,17,23,54
2020-01-10,7,14,21,46
2020-01-11,8,21,8,9
2020-01-12,7,14,6,26
2020-01-13,8,20,10,12
2020-01-14,9,20,9,13
2020-01-15,8,18,12,42
2020-01-16,10,25,12,11
2020-01-17,7,14,13,55
2020-01-18,12,17,99,66
2020-01-19,16,20,76,70
2020-01-20,16,22,143,176
2020-01-21,19,23,203,100
2020-01-22,14,16,59,60
2020-01-23,15,16,23,22
2020-01-24,15,15,27,42
2020-01-25,20,26,32,17
2020-01-26,10,18,9,20
2020-01-27,5,12,12,35
2020-01-28,No data,No data,9,56
2020-01-29,No data,No data,23,49
2020-01-30,No data,No data,14,33
2020-01-31,No data,No data,10,19
2020-02-01,10,25,9,33
2020-02-02,11,25,5,19
2020-02-03,10,24,14,52
2020-02-04,9,16,22,43
2020-02-05,12,18,79,67
2020-02-06,11,16,32,16
2020-02-07,12,22,28,16
2020-02-08,10,24,12,17
2020-02-09,11,25,4,6
2020-02-10,8,16,5,20
2020-02-11,6,13,7,No data
2020-02-12,5,12,16,No data
2020-02-13,9,21,10,34
2020-02-14,9,22,14,23
2020-02-15,9,20,6,11
2020-02-16,9,19,4,14
2020-02-17,7,16,7,32
2020-02-18,7,16,11,36
2020-02-19,8,17,15,34
2020-02-20,7,14,11,31
2020-02-21,9,23,9,19
2020-02-22,13,28,8,22
2020-02-23,6,10,8,22
2020-02-24,No data,No data,No data,26
2020-02-25,No data,No data,No data,33
2020-02-26,7,13,13,44
2020-02-27,7,10,34,60
2020-02-28,11,22,15,15
2020-02-29,7,16,5,18
2020-03-01,6,11,7,24
2020-03-02,5,9,13,55
2020-03-03,9,14,39,94
2020-03-04,8,10,34,36
2020-03-05,8,10,34,61
2020-03-06,9,13,37,68
2020-03-07,13,28,30,28
2020-03-08,8,18,6,20
2020-03-09,9,19,11,36
2020-03-10,8,14,8,27
2020-03-11,7,13,9,22
2020-03-12,8,17,7,28
2020-03-13,7,16,18,31
2020-03-14,7,16,9,22
2020-03-15,8,12,21,41
2020-03-16,7,15,55,54
2020-03-17,8,17,15,18
2020-03-18,7,13,13,21
2020-03-19,8,9,25,21
2020-03-20,8,11,13,8
2020-03-21,12,19,12,7
2020-03-22,15,19,15,9
2020-03-23,13,20,18,12
2020-03-24,20,24,26,12
2020-03-25,21,25,41,17
2020-03-26,26,30,49,29
2020-03-27,33,37,29,17
2020-03-28,17,22,7,6
2020-03-29,7,12,5,5
2020-03-30,7,9,11,16
2020-03-31,10,13,11,11
2020-04-01,10,12,14,25
2020-04-02,8,12,10,27
2020-04-03,10,15,11,23
2020-04-04,12,16,13,6
2020-04-05,13,20,8,4
2020-04-06,11,21,10,18
2020-04-07,8,12,24,11
2020-04-08,22,25,29,33
2020-04-09,40,43,40,30
2020-04-10,38,45,29,15
2020-04-11,41,46,31,20
2020-04-12,39,42,19,10
2020-04-13,12,17,7,3
2020-04-14,10,18,9,5
2020-04-15,13,21,12,5
2020-04-16,23,30,21,13
2020-04-17,27,31,17,10
2020-04-18,21,25,12,6
2020-04-19,24,27,10,5
2020-04-20,14,20,13,14
2020-04-21,15,24,16,11
2020-04-22,20,31,25,22
2020-04-23,29,39,40,26
2020-04-24,36,44,30,25
2020-04-25,34,41,22,14
2020-04-26,18,24,15,10
2020-04-27,20,24,12,13
2020-04-28,16,17,11,22
2020-04-29,10,18,No data,10
2020-04-30,7,13,No data,11
2020-05-01,7,13,5,13
2020-05-02,6,10,12,12
2020-05-03,8,8,8,9
2020-05-04,12,14,22,13
2020-05-05,15,21,14,8
2020-05-06,15,23,13,9
2020-05-07,26,34,19,12
2020-05-08,23,25,24,14
2020-05-09,32,33,36,18
2020-05-10,19,23,12,10
2020-05-11,7,13,7,12
2020-05-12,6,11,10,11
2020-05-13,7,10,8,13
2020-05-14,7,9,9,13
2020-05-15,9,11,10,17
2020-05-16,4,10,8,11
2020-05-17,5,11,8,10
2020-05-18,6,13,14,16
2020-05-19,6,11,11,14
2020-05-20,9,14,23,11
2020-05-21,9,16,12,11
2020-05-22,12,31,4,9
2020-05-23,8,21,3,8
2020-05-24,9,19,7,10
2020-05-25,7,14,20,14
2020-05-26,7,12,18,19
2020-05-27,11,17,26,24
2020-05-28,9,17,16,10
2020-05-29,9,21,12,9
2020-05-30,11,21,14,8
2020-05-31,10,18,11,6
2020-06-01,8,16,14,14
2020-06-02,12,20,24,21
2020-06-03,12,17,18,20
2020-06-04,No data,9,11,No data
2020-06-05,No data,10,8,13
2020-06-06,No data,11,8,10
2020-06-07,No data,12,8,10
2020-06-08,No data,13,21,35
2020-06-09,No data,12,10,18
2020-06-10,3,13,10,13
2020-06-11,9,16,10,8
2020-06-12,8,14,13,14
2020-06-13,4,11,14,10
2020-06-14,5,10,12,7
2020-06-15,7,14,23,9
2020-06-16,7,13,15,14
2020-06-17,7,12,17,26
2020-06-18,9,14,14,21
2020-06-19,3,12,8,14
2020-06-20,5,14,12,5
2020-06-21,7,21,5,12
2020-06-22,8,22,15,8
2020-06-23,7,18,16,9
2020-06-24,12,22,30,24
2020-06-25,No data,27,31,25
2020-06-26,No data,17,10,11
2020-06-27,No data,11,6,8
2020-06-28,No data,15,5,8
2020-06-29,No data,14,7,14
2020-06-30,No data,7,12,16
2020-07-01,No data,10,8,18
2020-07-02,8,10,8,18
2020-07-03,7,11,9,14
2020-07-04,6,8,8,10
2020-07-05,8,13,3,7
2020-07-06,7,14,8,15
2020-07-07,7,14,20,17
2020-07-08,12,11,10,19
2020-07-09,2,7,9,16
2020-07-10,4,10,11,15
2020-07-11,4,9,15,14
2020-07-12,6,10,14,16
2020-07-13,6,10,17,29
2020-07-14,4,10,10,14
2020-07-15,4,10,9,18
2020-07-16,4,8,10,16
2020-07-17,4,8,10,17
2020-07-18,3,8,8,13
2020-07-19,4,8,12,11
2020-07-20,4,8,14,20
2020-07-21,6,12,19,18
2020-07-22,6,11,18,27
2020-07-23,5,9,16,20
2020-07-24,3,8,10,15
2020-07-25,5,10,9,11
2020-07-26,5,13,9,9
2020-07-27,5,15,11,11
2020-07-28,4,10,11,21
2020-07-29,5,12,44,21
2020-07-30,7,13,26,9
2020-07-31,7,15,16,19
2020-08-01,3,9,6,12
2020-08-02,3,8,5,12
2020-08-03,3,9,19,30
2020-08-04,No data,No data,18,12
2020-08-05,No data,No data,16,8
2020-08-06,No data,No data,25,13
2020-08-07,No data,No data,44,31
2020-08-08,5,8,9,14
2020-08-09,12,17,13,9
2020-08-10,18,22,13,16
2020-08-11,17,22,19,26
2020-08-12,22,28,24,24
2020-08-13,25,29,17,15
2020-08-14,15,17,20,23
2020-08-15,6,8,11,19
2020-08-16,7,9,13,8
2020-08-17,7,10,32,23
2020-08-18,No data,No data,No data,18
2020-08-19,No data,No data,No data,7
2020-08-20,8,24,8,4
2020-08-21,11,29,6,6
2020-08-22,5,16,5,9
2020-08-23,3,10,3,10
2020-08-24,3,8,10,15
2020-08-25,5,16,4,8
2020-08-26,6,16,14,22
2020-08-27,4,12,24,18
2020-08-28,2,8,12,21
2020-08-29,2,7,13,11
2020-08-30,3,6,14,17
2020-08-31,5,9,41,18
2020-09-01,6,12,65,12
2020-09-02,6,14,36,11
2020-09-03,3,10,11,21
2020-09-04,4,14,64,35
2020-09-05,2,11,34,28
2020-09-06,2,10,18,20
2020-09-07,3,10,28,35
2020-09-08,5,14,13,22
2020-09-09,3,9,17,19
2020-09-10,5,12,37,39
2020-09-11,5,11,42,42
2020-09-12,4,12,9,21
2020-09-13,5,10,37,12
2020-09-14,8,16,39,18
2020-09-15,11,17,55,No data
2020-09-16,9,14,43,No data
2020-09-17,9,19,17,9
2020-09-18,6,16,18,11
2020-09-19,10,20,19,22
2020-09-20,11,20,19,19
2020-09-21,14,23,55,51
2020-09-22,16,23,26,18
2020-09-23,2,6,9,28
2020-09-24,3,8,10,25
2020-09-25,2,7,9,17
2020-09-26,3,8,28,25
2020-09-27,4,8,16,16
2020-09-28,7,14,64,37
2020-09-29,5,11,29,43
2020-09-30,3,12,15,37
2020-10-01,3,7,22,No data
2020-10-02,1,4,16,No data
2020-10-03,3,9,8,No data
2020-10-04,2,7,5,No data
2020-10-05,2,8,8,No data
2020-10-06,4,10,7,15
2020-10-07,3,13,32,33
2020-10-08,5,12,17,31
2020-10-09,5,10,53,50
2020-10-10,4,7,17,31
2020-10-11,4,9,19,23
2020-10-12,5,9,39,25
2020-10-13,3,7,33,36
2020-10-14,6,11,16,25
2020-10-15,5,10,19,33
2020-10-16,6,11,49,23
2020-10-17,9,14,24,10
2020-10-18,14,17,38,12
2020-10-19,No data,16,20,14
2020-10-20,No data,22,12,8
