Date,NOx_1,NOx_2,PM10_1,PM10_2,PM2.5_1,PM2.5_2
2020-01-16,41,55,14,16,9,8
2020-01-17,50,72,12,12,8,6
2020-01-18,30,41,11,10,8,7
2020-01-19,42,56,14,13,11,8
2020-01-20,55,43,16,13,11,7
2020-01-21,46,68,13,11,10,7
2020-01-22,59,86,13,12,13,No data
2020-01-23,45,62,12,11,12,9
2020-01-24,36,52,9,10,8,6
2020-01-25,44,52,17,17,17,14
2020-01-26,47,63,17,17,15,12
2020-01-27,68,71,15,16,11,8
2020-01-28,37,47,10,8,8,5
2020-01-29,33,34,12,13,8,6
2020-01-30,38,44,13,13,9,7
2020-01-31,27,20,9,7,7,4
2020-02-01,19,26,14,15,9,8
2020-02-02,35,51,14,14,10,9
2020-02-03,26,24,12,14,8,6
2020-02-04,50,66,14,24,10,8
2020-02-05,78,61,22,22,17,12
2020-02-06,127,116,No data,29,No data,17
2020-02-07,115,142,No data,No data,No data,No data
2020-02-08,26,23,No data,No data,No data,No data
2020-02-09,13,10,No data,No data,No data,No data
2020-02-10,27,26,No data,No data,No data,No data
2020-02-11,26,No data,No data,13,No data,5
2020-02-12,52,No data,No data,13,No data,7
2020-02-13,58,93,No data,12,No data,9
2020-02-14,73,87,No data,16,No data,11
2020-02-15,31,31,No data,8,8,No data
2020-02-16,13,11,7,8,6,No data
2020-02-17,21,24,13,16,7,7
2020-02-18,27,26,11,No data,7,No data
2020-02-19,34,33,12,No data,8,No data
2020-02-20,23,26,7,7,5,4
2020-02-21,23,18,10,10,7,7
2020-02-22,13,17,8,9,5,No data
2020-02-23,25,32,8,11,5,No data
2020-02-24,39,59,8,9,7,6
2020-02-25,42,56,7,7,6,5
2020-02-26,38,48,9,13,6,5
2020-02-27,39,54,9,12,6,7
2020-02-28,58,78,10,10,9,7
2020-02-29,21,21,7,8,5,No data
2020-03-01,21,22,10,12,6,6
2020-03-02,No data,69,No data,16,No data,10
2020-03-03,No data,50,No data,12,No data,7
2020-03-04,98,131,25,35,13,15
2020-03-05,64,110,25,36,16,19
2020-03-06,72,105,27,32,18,20
2020-03-07,26,29,14,16,8,9
2020-03-08,18,21,6,8,4,5
2020-03-09,33,33,9,11,5,6
2020-03-10,26,27,7,10,4,6
2020-03-11,28,24,8,10,4,5
2020-03-12,22,22,10,12,5,5
2020-03-13,27,68,9,18,4,7
2020-03-14,29,42,10,14,7,10
2020-03-15,14,15,6,10,3,6
2020-03-16,25,37,10,15,5,7
2020-03-17,21,14,10,No data,4,No data
2020-03-18,28,43,9,No data,4,No data
2020-03-19,33,74,13,33,7,9
2020-03-20,18,59,11,27,6,9
2020-03-21,12,31,13,24,6,7
2020-03-22,18,31,19,27,11,13
2020-03-23,44,58,26,34,14,17
2020-03-24,51,55,41,44,24,25
2020-03-25,52,66,45,50,27,30
2020-03-26,34,45,41,48,30,31
2020-03-27,12,29,36,43,29,31
2020-03-28,6,14,11,19,7,7
2020-03-29,7,14,10,17,5,5
2020-03-30,11,20,8,15,4,4
2020-03-31,19,34,8,22,5,7
2020-04-01,17,17,9,15,5,7
2020-04-02,18,9,10,15,5,5
2020-04-03,20,18,10,18,6,7
2020-04-04,18,21,14,19,9,13
2020-04-05,21,21,19,23,12,15
2020-04-06,20,14,11,18,7,9
2020-04-07,46,38,22,27,13,15
2020-04-08,34,33,19,21,11,14
2020-04-09,12,21,12,17,8,10
2020-04-10,25,33,36,36,26,30
2020-04-11,24,18,22,20,17,19
2020-04-12,14,13,14,15,10,No data
2020-04-13,5,12,13,16,7,7
2020-04-14,20,25,19,18,11,12
2020-04-15,21,24,18,20,11,13
2020-04-16,15,23,21,24,14,16
2020-04-17,9,15,13,19,6,8
2020-04-18,7,18,12,18,6,7
2020-04-19,7,13,11,15,5,8
2020-04-20,8,16,13,18,6,6
2020-04-21,8,16,17,22,8,9
2020-04-22,9,18,21,29,10,11
2020-04-23,No data,24,17,27,10,13
2020-04-24,No data,25,17,No data,11,No data
2020-04-25,No data,27,26,No data,19,No data
2020-04-26,No data,12,31,No data,23,No data
2020-04-27,No data,23,5,No data,2,No data
2020-04-28,No data,31,8,No data,4,No data
2020-04-29,No data,36,13,No data,9,No data
2020-04-30,19,20,9,11,5,7
2020-05-01,16,16,5,12,3,5
2020-05-02,10,10,5,11,3,6
2020-05-03,14,20,13,20,10,13
2020-05-04,No data,29,13,29,11,16
2020-05-05,No data,28,9,20,5,7
2020-05-06,No data,34,16,22,9,10
2020-05-07,No data,38,25,33,14,17
2020-05-08,11,13,9,17,6,9
2020-05-09,13,20,15,22,12,13
2020-05-10,4,10,10,17,6,6
2020-05-11,19,29,10,18,5,6
2020-05-12,19,18,9,13,4,6
2020-05-13,10,29,7,15,3,4
2020-05-14,18,22,8,13,4,4
2020-05-15,14,15,7,10,3,4
2020-05-16,11,10,6,10,3,5
2020-05-17,11,9,9,13,5,7
2020-05-18,16,17,11,16,5,8
2020-05-19,14,15,7,13,5,No data
2020-05-20,21,31,16,23,8,No data
2020-05-21,19,24,14,19,8,No data
2020-05-22,10,8,25,26,11,10
2020-05-23,7,6,13,18,6,6
2020-05-24,12,9,11,19,7,8
2020-05-25,14,14,10,15,6,7
2020-05-26,15,19,8,16,5,6
2020-05-27,12,30,11,20,6,7
2020-05-28,21,34,19,28,10,12
2020-05-29,24,40,17,22,7,6
2020-05-30,12,25,14,26,8,9
2020-05-31,9,21,12,21,7,9
2020-06-01,11,29,11,21,5,6
2020-06-02,12,32,11,16,3,5
2020-06-03,13,30,7,14,4,5
2020-06-04,21,34,6,10,3,3
2020-06-05,17,21,5,8,2,2
2020-06-06,15,21,5,12,2,4
2020-06-07,9,21,5,10,3,5
2020-06-08,13,40,12,21,6,6
2020-06-09,35,41,19,26,11,12
2020-06-10,24,49,15,27,11,14
2020-06-11,9,26,9,19,6,8
2020-06-12,9,38,6,13,4,8
2020-06-13,12,34,14,27,11,14
2020-06-14,10,27,12,22,10,11
2020-06-15,20,41,21,30,16,13
2020-06-16,15,37,18,29,14,14
2020-06-17,17,43,17,30,13,13
2020-06-18,15,39,12,19,9,10
2020-06-19,21,37,10,18,7,7
2020-06-20,14,21,7,16,4,5
2020-06-21,10,11,10,15,5,6
2020-06-22,18,17,15,21,7,7
2020-06-23,23,23,13,21,6,7
2020-06-24,31,49,26,37,13,19
2020-06-25,18,44,24,42,14,21
2020-06-26,26,43,27,41,18,22
2020-06-27,16,17,10,14,6,6
2020-06-28,8,6,6,9,3,3
2020-06-29,16,12,5,10,2,2
2020-06-30,23,30,7,16,4,4
2020-07-01,21,42,8,23,5,8
2020-07-02,21,58,5,14,3,4
2020-07-03,16,13,5,12,2,3
2020-07-04,15,14,3,9,2,1
2020-07-05,10,7,7,14,3,5
2020-07-06,18,17,7,13,3,5
2020-07-07,27,44,7,16,4,6
2020-07-08,18,54,8,No data,5,No data
2020-07-09,15,60,3,No data,2,No data
2020-07-10,22,43,5,No data,3,No data
2020-07-11,15,20,5,13,2,5
2020-07-12,16,21,5,13,3,6
2020-07-13,24,24,7,14,3,5
2020-07-14,16,20,5,11,2,3
2020-07-15,20,28,5,11,2,3
2020-07-16,16,21,5,13,2,4
2020-07-17,21,23,11,16,5,5
2020-07-18,17,18,6,14,4,5
2020-07-19,11,14,8,15,4,6
2020-07-20,No data,No data,No data,13,No data,5
2020-07-21,No data,No data,No data,17,No data,6
2020-07-22,25,27,13,16,6,8
2020-07-23,19,23,8,13,4,7
2020-07-24,19,26,7,10,4,6
2020-07-25,17,20,5,9,3,5
2020-07-26,14,11,7,9,3,4
2020-07-27,22,27,7,11,4,6
2020-07-28,14,16,8,10,3,5
2020-07-29,16,28,9,12,4,6
2020-07-30,53,69,17,23,9,11
2020-07-31,33,59,24,30,9,12
2020-08-01,13,20,7,16,4,8
2020-08-02,11,14,6,11,3,3
2020-08-03,16,27,5,10,2,4
2020-08-04,30,32,8,12,4,3
2020-08-05,19,17,7,11,3,4
2020-08-06,31,38,8,7,4,4
2020-08-07,42,47,13,12,6,7
2020-08-08,21,37,7,14,4,6
2020-08-09,15,24,16,36,8,10
2020-08-10,17,42,20,39,10,15
2020-08-11,16,46,27,36,17,18
2020-08-12,19,51,32,42,22,24
2020-08-13,16,37,12,21,9,14
2020-08-14,19,41,7,16,5,6
2020-08-15,13,46,9,19,6,9
2020-08-16,11,35,10,19,6,11
2020-08-17,32,48,10,16,6,7
2020-08-18,53,44,12,16,7,6
2020-08-19,55,73,16,21,7,10
2020-08-20,27,29,15,25,6,7
2020-08-21,20,15,10,17,4,6
2020-08-22,18,16,6,14,3,6
2020-08-23,14,14,6,15,4,6
2020-08-24,21,30,7,16,4,6
2020-08-25,25,26,6,15,3,3
2020-08-26,25,34,6,14,3,5
2020-08-27,66,83,17,24,9,10
2020-08-28,16,47,6,14,3,6
2020-08-29,12,41,7,18,3,7
2020-08-30,26,41,7,16,4,7
2020-08-31,46,47,11,18,8,11
2020-09-01,79,79,23,28,13,16
2020-09-02,62,65,18,22,10,12
