Date,PM10,PM2.5,NOx
2021-05-09,9,6,9
2021-05-10,10,5,10
2021-05-11,12,6,18
2021-05-12,12,6,11
2021-05-13,15,9,15
2021-05-14,10,6,8
2021-05-15,14,12,9
2021-05-16,9,6,9
2021-05-17,9,7,9
2021-05-18,7,4,9
2021-05-19,8,5,13
2021-05-20,11,6,9
2021-05-21,8,4,6
2021-05-22,7,6,7
2021-05-23,6,4,6
2021-05-24,5,3,8
2021-05-25,7,4,10
2021-05-26,10,6,8
2021-05-27,11,8,8
2021-05-28,13,10,12
2021-05-29,14,11,10
2021-05-30,9,7,5
2021-05-31,14,11,8
2021-06-01,19,12,19
2021-06-02,25,14,22
2021-06-03,26,17,22
2021-06-04,17,11,11
2021-06-05,8,4,7
2021-06-06,11,8,12
2021-06-07,11,6,13
2021-06-08,15,10,15
2021-06-09,14,8,No data
2021-06-10,11,5,No data
2021-06-11,10,5,No data
2021-06-12,11,6,No data
2021-06-13,12,7,No data
2021-06-14,14,8,No data
2021-06-15,11,5,No data
2021-06-16,19,9,No data
2021-06-17,19,14,No data
2021-06-18,9,5,9
2021-06-19,9,5,6
2021-06-20,8,5,5
2021-06-21,13,6,7
2021-06-22,14,6,6
2021-06-23,10,5,9
2021-06-24,15,10,8
2021-06-25,9,7,7
2021-06-26,7,5,7
2021-06-27,12,8,4
2021-06-28,13,8,8
2021-06-29,12,8,7
2021-06-30,8,5,5
2021-07-01,13,8,5
2021-07-02,17,12,No data
2021-07-03,21,15,No data
2021-07-04,9,4,No data
2021-07-05,9,5,No data
2021-07-06,8,4,6
2021-07-07,11,6,7
2021-07-08,14,9,10
2021-07-09,19,12,14
2021-07-10,14,9,8
2021-07-11,12,7,8
2021-07-12,16,12,11
2021-07-13,12,8,7
2021-07-14,9,5,5
2021-07-15,14,7,5
2021-07-16,11,6,No data
2021-07-17,10,6,No data
2021-07-18,12,7,No data
2021-07-19,15,8,No data
2021-07-20,No data,No data,No data
2021-07-21,No data,No data,No data
2021-07-22,No data,No data,No data
2021-07-23,No data,No data,No data
2021-07-24,No data,No data,No data
2021-07-25,No data,No data,No data
2021-07-26,No data,No data,No data
2021-07-27,No data,No data,No data
2021-07-28,No data,No data,No data
2021-07-29,9,3,5
2021-07-30,10,6,7
2021-07-31,11,6,7
2021-08-01,7,4,5
2021-08-02,7,3,7
2021-08-03,9,4,12
2021-08-04,13,8,16
2021-08-05,17,11,8
2021-08-06,11,5,5
2021-08-07,8,4,5
2021-08-08,9,5,3
2021-08-09,8,4,7
2021-08-10,12,6,No data
2021-08-11,12,7,No data
2021-08-12,10,5,No data
2021-08-13,11,5,8
2021-08-14,9,5,9
2021-08-15,10,6,9
2021-08-16,13,8,10
2021-08-17,7,4,12
2021-08-18,7,4,10
2021-08-19,9,6,12
2021-08-20,12,7,14
2021-08-21,14,9,19
2021-08-22,16,11,13
2021-08-23,8,4,9
2021-08-24,6,3,11
2021-08-25,4,2,10
2021-08-26,12,6,7
2021-08-27,12,6,8
2021-08-28,10,5,9
2021-08-29,8,5,7
2021-08-30,11,6,7
2021-08-31,11,6,8
2021-09-01,17,10,8
2021-09-02,15,9,10
2021-09-03,14,9,11
2021-09-04,13,9,12
2021-09-05,16,10,9
2021-09-06,27,17,19
2021-09-07,43,33,15
2021-09-08,36,27,19
2021-09-09,22,15,13
2021-09-10,9,5,10
2021-09-11,11,7,9
2021-09-12,7,4,8
2021-09-13,7,3,11
2021-09-14,19,13,21
2021-09-15,8,3,10
2021-09-16,19,14,17
2021-09-17,18,13,16
2021-09-18,23,19,No data
2021-09-19,16,12,14
2021-09-20,15,10,15
2021-09-21,14,10,14
2021-09-22,18,12,No data
2021-09-23,10,5,11
2021-09-24,13,7,13
2021-09-25,12,8,10
2021-09-26,26,20,10
2021-09-27,7,4,6
2021-09-28,9,4,7
2021-09-29,6,3,7
2021-09-30,7,4,8
2021-10-01,5,3,10
2021-10-02,7,4,7
2021-10-03,5,2,6
2021-10-04,7,3,8
2021-10-05,4,2,9
2021-10-06,9,6,15
2021-10-07,14,10,16
2021-10-08,21,16,19
2021-10-09,29,24,28
2021-10-10,17,14,18
2021-10-11,12,7,18
2021-10-12,10,6,13
2021-10-13,10,6,24
2021-10-14,10,7,11
2021-10-15,14,8,26
2021-10-16,13,9,24
2021-10-17,15,11,No data
2021-10-18,16,11,13
2021-10-19,17,11,7
2021-10-20,9,5,9
2021-10-21,9,5,10
2021-10-22,9,5,21
2021-10-23,8,5,12
